 localhost - [2020-10-23 17:45:24.049467] GET /cgi-bin/search/search.html HTTP/1.1 -200 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.111 Safari/537.36 Edg/86.0.622.51
 localhost - [2020-10-23 17:45:24.181701] GET /favicon.ico HTTP/1.1 -404 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.111 Safari/537.36 Edg/86.0.622.51
 localhost - [2020-10-23 17:45:27.441359] POST /cgi-bin/search/query.py HTTP/1.1 Referer: http://localhost:8888/cgi-bin/search/search.html -200 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.111 Safari/537.36 Edg/86.0.622.51
 localhost - [2020-10-23 17:45:59.854788] POST /cgi-bin/search/query.py HTTP/1.1 Referer: http://localhost:8888/cgi-bin/search/search.html -200 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.111 Safari/537.36 Edg/86.0.622.51
 localhost - [2020-10-23 17:46:04.488179] POST /cgi-bin/search/query.py HTTP/1.1 Referer: http://localhost:8888/cgi-bin/search/search.html -200 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.111 Safari/537.36 Edg/86.0.622.51
 localhost - [2020-10-23 17:46:09.201183] POST /cgi-bin/search/query.py HTTP/1.1 Referer: http://localhost:8888/cgi-bin/search/search.html -200 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.111 Safari/537.36 Edg/86.0.622.51
 localhost - [2020-10-23 17:46:50.421551] POST /cgi-bin/search/query.py HTTP/1.1 Referer: http://localhost:8888/cgi-bin/search/search.html -200 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.111 Safari/537.36 Edg/86.0.622.51
 localhost - [2020-10-23 17:47:37.465326] GET /cgi-bin/cal/calculator.html HTTP/1.1 -200 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.111 Safari/537.36 Edg/86.0.622.51
 localhost - [2020-10-23 17:47:41.722706] POST /cgi-bin/cal/test.py HTTP/1.1 Referer: http://localhost:8888/cgi-bin/cal/calculator.html -200 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.111 Safari/537.36 Edg/86.0.622.51
 localhost - [2020-10-23 17:47:46.155965] POST /cgi-bin/cal/test.py HTTP/1.1 Referer: http://localhost:8888/cgi-bin/cal/calculator.html -200 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.111 Safari/537.36 Edg/86.0.622.51
 localhost - [2020-10-23 17:47:52.819520] GET /cgi-bin/cal/calculator.htm HTTP/1.1 -404 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.111 Safari/537.36 Edg/86.0.622.51
